Tahun;Bulan;Tanggal;Produk;Unit_Terjual;Harga_Per_Unit
2021;Januari;9;Croissant;;18000.0
2021;Januari;9;Espresso;;22000.0
2021;Januari;9;Latte;25.0;
2021;Januari;9;;26.0;15000.0
2021;Januari;10;Americano;37.0;21000.0
2021;Januari;10;Cappuccino;33.0;25000.0
2021;Januari;10;Croissant;24.0;18000.0
2021;Januari;10;Donat;29.0;15000.0
2021;Januari;10;Espresso;48.0;22000.0
2021;Januari;10;Latte;47.0;28000.0
2021;Januari;11;Americano;30.0;21000.0
2021;Januari;11;Cappuccino;31.0;25000.0
2021;Januari;11;Donat;32.0;15000.0
2021;Januari;11;;36.0;
2021;Januari;11;;38.0;28000.0
2021;Januari;11;;28.0;18000.0
2021;Januari;12;Americano;34.0;21000.0
2021;Januari;12;Cappuccino;42.0;25000.0
2021;Januari;12;Croissant;24.0;18000.0
2021;Januari;12;Donat;34.0;15000.0
2021;Januari;12;Espresso;39.0;22000.0
2021;Januari;12;Latte;48.0;28000.0
2021;Januari;13;Cappuccino;19.0;25000.0
2021;Januari;13;Croissant;22.0;18000.0
2021;Januari;13;Donat;19.0;15000.0
2021;Januari;13;Espresso;39.0;22000.0
2021;Januari;13;Latte;52.0;28000.0
2021;Januari;13;;;21000.0
2021;Januari;14;Americano;42.0;21000.0
2021;Januari;14;Cappuccino;38.0;25000.0
2021;Januari;14;Croissant;33.0;18000.0
2021;Januari;14;Espresso;;22000.0
2021;Januari;14;Latte;24.0;28000.0
2021;Januari;14;;17.0;15000.0
2021;Januari;15;Americano;42.0;21000.0
2021;Januari;15;Cappuccino;47.0;25000.0
2021;Januari;15;Croissant;17.0;18000.0
2021;Januari;15;Donat;26.0;15000.0
2021;Januari;15;Espresso;33.0;22000.0
2021;Januari;15;Latte;35.0;28000.0
2021;Januari;16;Americano;37.0;21000.0
2021;Januari;16;Cappuccino;34.0;25000.0
2021;Januari;16;Croissant;18.0;18000.0
2021;Januari;16;Donat;10.0;15000.0
2021;Januari;16;Espresso;40.0;22000.0
2021;Januari;16;Latte;47.0;28000.0
2021;Januari;17;Americano;38.0;21000.0
2021;Januari;17;Croissant;10.0;18000.0
2021;Januari;17;Donat;18.0;15000.0
2021;Januari;17;Espresso;;22000.0
2021;Januari;17;Latte;42.0;28000.0
2021;Januari;17;;40.0;25000.0
2021;Januari;18;Americano;43.0;21000.0
2021;Januari;18;Cappuccino;;25000.0
2021;Januari;18;Croissant;37.0;18000.0
2021;Januari;18;Donat;23.0;
2021;Januari;18;Espresso;37.0;22000.0
2021;Januari;18;Latte;33.0;28000.0
2021;Januari;19;Americano;39.0;21000.0
2021;Januari;19;Cappuccino;24.0;25000.0
2021;Januari;19;Croissant;22.0;18000.0
2021;Januari;19;Donat;41.0;15000.0
2021;Januari;19;Espresso;42.0;
2021;Januari;19;Latte;39.0;28000.0
2021;Januari;20;Cappuccino;39.0;25000.0
2021;Januari;20;Croissant;31.0;18000.0
2021;Januari;20;Espresso;38.0;22000.0
2021;Januari;20;Latte;42.0;28000.0
2021;Januari;20;;30.0;21000.0
2021;Januari;20;;28.0;15000.0
2021;Januari;21;Cappuccino;51.0;25000.0
2021;Januari;21;Croissant;26.0;18000.0
2021;Januari;21;Donat;39.0;15000.0
2021;Januari;21;Espresso;;22000.0
2021;Januari;21;Latte;32.0;28000.0
2021;Januari;21;;28.0;21000.0
2021;Januari;22;Americano;35.0;
2021;Januari;22;Cappuccino;40.0;25000.0
2021;Januari;22;Croissant;9.0;18000.0
2021;Januari;22;Donat;22.0;15000.0
2021;Januari;22;Espresso;;22000.0
2021;Januari;22;Latte;35.0;28000.0
2021;Januari;23;Cappuccino;32.0;25000.0
2021;Januari;23;Croissant;15.0;18000.0
2021;Januari;23;Donat;19.0;15000.0
2021;Januari;23;Espresso;31.0;22000.0
2021;Januari;23;Latte;43.0;28000.0
2021;Januari;23;;52.0;21000.0
2021;Januari;24;Americano;50.0;21000.0
2021;Januari;24;Cappuccino;41.0;25000.0
2021;Januari;24;Croissant;9.0;
2021;Januari;24;Donat;23.0;
2021;Januari;24;Espresso;46.0;22000.0
2021;Januari;24;Latte;30.0;28000.0
2021;Januari;25;Americano;29.0;21000.0
2021;Januari;25;Cappuccino;30.0;25000.0
2021;Januari;25;Donat;24.0;
2021;Januari;25;Espresso;42.0;22000.0
2021;Januari;25;Latte;46.0;28000.0
2021;Januari;25;;26.0;18000.0
2021;Januari;26;Americano;41.0;21000.0
2021;Januari;26;Cappuccino;34.0;25000.0
2021;Januari;26;Croissant;24.0;18000.0
2021;Januari;26;Donat;16.0;
2021;Januari;26;Espresso;42.0;22000.0
2021;Januari;26;Latte;42.0;28000.0
2021;Januari;27;Americano;45.0;21000.0
2021;Januari;27;Cappuccino;30.0;25000.0
2021;Januari;27;Croissant;14.0;18000.0
2021;Januari;27;Donat;28.0;15000.0
2021;Januari;27;Espresso;54.0;22000.0
2021;Januari;27;Latte;43.0;28000.0
2021;Januari;28;Cappuccino;47.0;25000.0
2021;Januari;28;Croissant;28.0;18000.0
2021;Januari;28;Donat;37.0;15000.0
2021;Januari;28;Espresso;49.0;22000.0
2021;Januari;28;Latte;33.0;28000.0
2021;Januari;28;;43.0;21000.0
2021;Januari;29;Americano;;21000.0
2021;Januari;29;Cappuccino;32.0;25000.0
2021;Januari;29;Croissant;21.0;18000.0
2021;Januari;29;Donat;24.0;15000.0
2021;Januari;29;Espresso;38.0;22000.0
2021;Januari;29;Latte;33.0;
2021;Januari;30;Americano;51.0;21000.0
2021;Januari;30;Cappuccino;40.0;25000.0
2021;Januari;30;Croissant;19.0;18000.0
2021;Januari;30;Donat;43.0;15000.0
2021;Januari;30;Espresso;42.0;22000.0
2021;Januari;30;Latte;46.0;28000.0
2021;Januari;31;Cappuccino;31.0;25000.0
2021;Januari;31;Croissant;20.0;18000.0
2021;Januari;31;Donat;27.0;15000.0
2021;Januari;31;Latte;33.0;28000.0
2021;Januari;31;;45.0;22000.0
2021;Januari;31;;;21000.0
2021;Februari;1;Cappuccino;33.0;25000.0
2021;Februari;1;Croissant;18.0;18000.0
2021;Februari;1;Espresso;43.0;22000.0
2021;Februari;1;Latte;39.0;28000.0
2021;Februari;1;;27.0;21000.0
2021;Februari;1;;28.0;15000.0
2021;Februari;2;Americano;43.0;21000.0
2021;Februari;2;Cappuccino;;25000.0
2021;Februari;2;Donat;23.0;15000.0
2021;Februari;2;Espresso;41.0;22000.0
2021;Februari;2;;30.0;28000.0
2021;Februari;2;;;18000.0
2021;Februari;3;Americano;44.0;21000.0
2021;Februari;3;Cappuccino;42.0;25000.0
2021;Februari;3;Croissant;30.0;18000.0
2021;Februari;3;Donat;30.0;
2021;Februari;3;Espresso;40.0;
2021;Februari;3;Latte;;28000.0
2021;Februari;4;Americano;44.0;21000.0
2021;Februari;4;Cappuccino;44.0;25000.0
2021;Februari;4;Croissant;26.0;18000.0
2021;Februari;4;Donat;52.0;15000.0
2021;Februari;4;Espresso;28.0;22000.0
2021;Februari;4;Latte;;28000.0
2021;Februari;5;Americano;45.0;21000.0
2021;Februari;5;Cappuccino;47.0;25000.0
2021;Februari;5;Croissant;19.0;18000.0
2021;Februari;5;Donat;28.0;15000.0
2021;Februari;5;Espresso;44.0;22000.0
2021;Februari;5;Latte;49.0;28000.0
2021;Februari;6;Americano;40.0;21000.0
2021;Februari;6;Cappuccino;36.0;25000.0
2021;Februari;6;Croissant;40.0;18000.0
2021;Februari;6;Donat;7.0;
2021;Februari;6;;33.0;22000.0
2021;Februari;6;;38.0;28000.0
2021;Februari;7;Americano;48.0;21000.0
2021;Februari;7;Cappuccino;36.0;25000.0
2021;Februari;7;Croissant;22.0;18000.0
2021;Februari;7;Donat;13.0;15000.0
2021;Februari;7;Espresso;45.0;22000.0
2021;Februari;7;Latte;27.0;28000.0
2021;Februari;8;Americano;41.0;21000.0
2021;Februari;8;Cappuccino;34.0;25000.0
2021;Februari;8;Croissant;22.0;18000.0
2021;Februari;8;Donat;16.0;15000.0
2021;Februari;8;Espresso;34.0;22000.0
2021;Februari;8;Latte;45.0;28000.0
2021;Februari;9;Americano;41.0;21000.0
2021;Februari;9;Cappuccino;23.0;25000.0
2021;Februari;9;Croissant;16.0;18000.0
2021;Februari;9;Donat;28.0;15000.0
2021;Februari;9;Espresso;57.0;22000.0
2021;Februari;9;;;28000.0
2021;Februari;10;Americano;;21000.0
2021;Februari;10;Cappuccino;44.0;25000.0
2021;Februari;10;Croissant;12.0;18000.0
2021;Februari;10;Donat;19.0;15000.0
2021;Februari;10;Espresso;33.0;22000.0
2021;Februari;10;Latte;39.0;28000.0
2021;Februari;11;Americano;43.0;21000.0
2021;Februari;11;Cappuccino;54.0;25000.0
2021;Februari;11;Croissant;;18000.0
2021;Februari;11;Donat;29.0;15000.0
2021;Februari;11;Espresso;;22000.0
2021;Februari;11;Latte;34.0;28000.0
2021;Februari;12;Americano;36.0;21000.0
2021;Februari;12;Cappuccino;27.0;25000.0
2021;Februari;12;Croissant;32.0;18000.0
2021;Februari;12;Donat;16.0;15000.0
2021;Februari;12;Espresso;56.0;
2021;Februari;12;Latte;48.0;28000.0
2021;Februari;13;Americano;39.0;21000.0
2021;Februari;13;Cappuccino;32.0;25000.0
2021;Februari;13;Croissant;0.0;
2021;Februari;13;Donat;13.0;15000.0
2021;Februari;13;Espresso;43.0;22000.0
2021;Februari;13;Latte;;28000.0
2021;Februari;14;Americano;;
2021;Februari;14;Cappuccino;53.0;25000.0
2021;Februari;14;Croissant;18.0;
2021;Februari;14;Donat;23.0;
2021;Februari;14;Espresso;37.0;22000.0
2021;Februari;14;Latte;30.0;28000.0
2021;Februari;15;Americano;40.0;
2021;Februari;15;Cappuccino;49.0;25000.0
2021;Februari;15;Croissant;14.0;
2021;Februari;15;Donat;25.0;15000.0
2021;Februari;15;Espresso;51.0;22000.0
2021;Februari;15;Latte;28.0;
2021;Februari;16;Americano;36.0;21000.0
2021;Februari;16;Cappuccino;40.0;
2021;Februari;16;Croissant;;18000.0
2021;Februari;16;Espresso;41.0;22000.0
2021;Februari;16;Latte;35.0;
2021;Februari;16;;27.0;15000.0
2021;Februari;17;Americano;;21000.0
2021;Februari;17;Cappuccino;;25000.0
2021;Februari;17;Croissant;20.0;18000.0
2021;Februari;17;Donat;;15000.0
2021;Februari;17;Latte;;28000.0
2021;Februari;17;;52.0;22000.0
2021;Februari;18;Americano;36.0;21000.0
2021;Februari;18;Cappuccino;38.0;25000.0
2021;Februari;18;Croissant;17.0;18000.0
2021;Februari;18;Donat;28.0;15000.0
2021;Februari;18;Espresso;42.0;
2021;Februari;18;Latte;35.0;28000.0
2021;Februari;19;Americano;42.0;21000.0
2021;Februari;19;Cappuccino;47.0;25000.0
2021;Februari;19;Donat;27.0;15000.0
2021;Februari;19;Espresso;42.0;22000.0
2021;Februari;19;Latte;34.0;28000.0
2021;Februari;19;;;18000.0
2021;Februari;20;Americano;44.0;21000.0
2021;Februari;20;Cappuccino;;25000.0
2021;Februari;20;Croissant;21.0;18000.0
2021;Februari;20;Donat;22.0;15000.0
2021;Februari;20;Espresso;33.0;22000.0
2021;Februari;20;Latte;35.0;28000.0
2021;Februari;21;Cappuccino;44.0;25000.0
2021;Februari;21;Donat;30.0;15000.0
2021;Februari;21;Espresso;50.0;22000.0
2021;Februari;21;Latte;35.0;28000.0
2021;Februari;21;;38.0;21000.0
2021;Februari;21;;20.0;18000.0
2021;Februari;22;Americano;40.0;21000.0
2021;Februari;22;Cappuccino;50.0;25000.0
2021;Februari;22;Croissant;27.0;18000.0
2021;Februari;22;Donat;19.0;15000.0
2021;Februari;22;Espresso;46.0;22000.0
2021;Februari;22;Latte;46.0;28000.0
2021;Februari;23;Americano;44.0;21000.0
2021;Februari;23;Cappuccino;;25000.0
2021;Februari;23;Croissant;15.0;
2021;Februari;23;Donat;38.0;15000.0
2021;Februari;23;Espresso;42.0;22000.0
2021;Februari;23;Latte;38.0;28000.0
2021;Februari;24;Americano;46.0;21000.0
2021;Februari;24;Cappuccino;49.0;25000.0
2021;Februari;24;Croissant;26.0;18000.0
2021;Februari;24;Donat;27.0;15000.0
2021;Februari;24;Espresso;31.0;22000.0
2021;Februari;24;Latte;30.0;28000.0
2021;Februari;25;Americano;34.0;
2021;Februari;25;Cappuccino;40.0;25000.0
2021;Februari;25;Croissant;29.0;18000.0
2021;Februari;25;Donat;20.0;15000.0
2021;Februari;25;Espresso;39.0;22000.0
2021;Februari;25;Latte;32.0;28000.0
2021;Februari;26;Americano;35.0;21000.0
2021;Februari;26;Cappuccino;43.0;25000.0
2021;Februari;26;Croissant;15.0;18000.0
2021;Februari;26;Donat;23.0;15000.0
2021;Februari;26;Latte;;28000.0
2021;Februari;26;;;22000.0
2021;Februari;27;Cappuccino;36.0;25000.0
2021;Februari;27;Croissant;10.0;18000.0
2021;Februari;27;Donat;10.0;15000.0
2021;Februari;27;Espresso;41.0;22000.0
2021;Februari;27;Latte;35.0;28000.0
2021;Februari;27;;41.0;21000.0
2021;Februari;28;Americano;51.0;21000.0
2021;Februari;28;Cappuccino;42.0;25000.0
2021;Februari;28;Croissant;28.0;
2021;Februari;28;Donat;20.0;15000.0
2021;Februari;28;Espresso;34.0;22000.0
2021;Februari;28;Latte;38.0;28000.0
2021;Maret;1;Americano;37.0;21000.0
2021;Maret;1;Cappuccino;39.0;25000.0
2021;Maret;1;Croissant;24.0;18000.0
2021;Maret;1;Donat;15.0;15000.0
2021;Maret;1;Espresso;39.0;22000.0
2021;Maret;1;Latte;31.0;28000.0
2021;Maret;2;Americano;43.0;21000.0
2021;Maret;2;Americano;43.0;21000.0
2021;Maret;2;Cappuccino;39.0;25000.0
2021;Maret;2;Croissant;27.0;18000.0
2021;Maret;2;Donat;18.0;15000.0
2021;Maret;2;Espresso;44.0;22000.0
2021;Maret;2;Latte;52.0;28000.0
2021;Maret;3;Cappuccino;40.0;25000.0
2021;Maret;3;Croissant;22.0;18000.0
2021;Maret;3;Donat;25.0;15000.0
2021;Maret;3;Espresso;41.0;22000.0
2021;Maret;3;Latte;40.0;28000.0
2021;Maret;3;;33.0;21000.0
2021;Maret;4;Cappuccino;57.0;
2021;Maret;4;Croissant;28.0;18000.0
2021;Maret;4;Donat;23.0;15000.0
2021;Maret;4;Espresso;51.0;22000.0
2021;Maret;4;Latte;47.0;28000.0
2021;Maret;4;;33.0;21000.0
2021;Maret;5;Americano;35.0;21000.0
2021;Maret;5;Cappuccino;33.0;25000.0
2021;Maret;5;Croissant;;18000.0
2021;Maret;5;Donat;17.0;15000.0
2021;Maret;5;Espresso;;22000.0
2021;Maret;5;Latte;33.0;28000.0
2021;Maret;6;Americano;55.0;21000.0
2021;Maret;6;Cappuccino;42.0;25000.0
2021;Maret;6;Croissant;29.0;18000.0
2021;Maret;6;Donat;17.0;15000.0
2021;Maret;6;Espresso;33.0;22000.0
2021;Maret;6;Latte;41.0;
2021;Maret;7;Americano;54.0;21000.0
2021;Maret;7;Cappuccino;29.0;25000.0
2021;Maret;7;Croissant;31.0;18000.0
2021;Maret;7;Donat;18.0;15000.0
2021;Maret;7;Espresso;32.0;
2021;Maret;7;Latte;43.0;28000.0
2021;Maret;8;Americano;49.0;21000.0
2021;Maret;8;Cappuccino;39.0;25000.0
2021;Maret;8;Croissant;;18000.0
2021;Maret;8;Donat;17.0;15000.0
2021;Maret;8;Espresso;26.0;22000.0
2021;Maret;8;Latte;50.0;28000.0
2021;Maret;9;Americano;;21000.0
2021;Maret;9;Cappuccino;36.0;25000.0
2021;Maret;9;Croissant;;
2021;Maret;9;Donat;20.0;15000.0
2021;Maret;9;Espresso;40.0;22000.0
2021;Maret;9;Latte;;28000.0
2021;Maret;10;Americano;31.0;21000.0
2021;Maret;10;Croissant;;18000.0
2021;Maret;10;Donat;32.0;15000.0
2021;Maret;10;Espresso;40.0;22000.0
2021;Maret;10;Latte;44.0;28000.0
2021;Maret;10;;45.0;25000.0
2021;Maret;11;Americano;;
2021;Maret;11;Cappuccino;52.0;25000.0
2021;Maret;11;Croissant;31.0;18000.0
2021;Maret;11;Donat;22.0;15000.0
2021;Maret;11;Espresso;42.0;22000.0
2021;Maret;11;Latte;34.0;28000.0
2021;Maret;12;Americano;;21000.0
2021;Maret;12;Cappuccino;38.0;25000.0
2021;Maret;12;Croissant;27.0;18000.0
2021;Maret;12;Donat;32.0;15000.0
2021;Maret;12;Espresso;56.0;22000.0
2021;Maret;12;Latte;54.0;28000.0
2021;Maret;13;Americano;25.0;21000.0
2021;Maret;13;Cappuccino;;25000.0
2021;Maret;13;Croissant;12.0;18000.0
2021;Maret;13;Donat;5.0;15000.0
2021;Maret;13;Espresso;;22000.0
2021;Maret;13;Latte;45.0;28000.0
2021;Maret;14;Americano;40.0;21000.0
2021;Maret;14;Cappuccino;52.0;25000.0
2021;Maret;14;Croissant;35.0;18000.0
2021;Maret;14;Donat;10.0;15000.0
2021;Maret;14;Espresso;37.0;22000.0
2021;Maret;14;Latte;45.0;28000.0
2021;Maret;15;Americano;39.0;
2021;Maret;15;Cappuccino;43.0;25000.0
2021;Maret;15;Croissant;5.0;18000.0
2021;Maret;15;Donat;21.0;15000.0
2021;Maret;15;Espresso;26.0;22000.0
2021;Maret;15;Latte;39.0;28000.0
2021;Maret;16;Americano;32.0;21000.0
2021;Maret;16;Cappuccino;42.0;25000.0
2021;Maret;16;Croissant;17.0;18000.0
2021;Maret;16;Donat;13.0;15000.0
2021;Maret;16;Espresso;29.0;22000.0
2021;Maret;16;Latte;45.0;28000.0
2021;Maret;17;Americano;44.0;21000.0
2021;Maret;17;Cappuccino;32.0;25000.0
2021;Maret;17;Croissant;17.0;18000.0
2021;Maret;17;Donat;;15000.0
2021;Maret;17;Espresso;39.0;22000.0
2021;Maret;17;Latte;47.0;28000.0
2021;Maret;18;Americano;30.0;21000.0
2021;Maret;18;Cappuccino;35.0;25000.0
2021;Maret;18;Croissant;37.0;18000.0
2021;Maret;18;Donat;22.0;15000.0
2021;Maret;18;Espresso;39.0;22000.0
2021;Maret;18;Latte;31.0;28000.0
2021;Maret;19;Americano;38.0;
2021;Maret;19;Cappuccino;39.0;25000.0
2021;Maret;19;Croissant;26.0;18000.0
2021;Maret;19;Donat;28.0;15000.0
2021;Maret;19;Espresso;34.0;22000.0
2021;Maret;19;Latte;41.0;28000.0
2021;Maret;20;Americano;21.0;
2021;Maret;20;Cappuccino;37.0;25000.0
2021;Maret;20;Croissant;9.0;18000.0
2021;Maret;20;Donat;32.0;15000.0
2021;Maret;20;Espresso;35.0;22000.0
2021;Maret;20;Latte;35.0;28000.0
2021;Maret;21;Cappuccino;44.0;25000.0
2021;Maret;21;Croissant;46.0;18000.0
2021;Maret;21;Donat;30.0;15000.0
2021;Maret;21;Espresso;53.0;22000.0
2021;Maret;21;Latte;38.0;28000.0
2021;Maret;21;;42.0;21000.0
2021;Maret;22;Americano;41.0;21000.0
2021;Maret;22;Cappuccino;27.0;25000.0
2021;Maret;22;Croissant;15.0;18000.0
2021;Maret;22;Donat;;15000.0
2021;Maret;22;Espresso;38.0;22000.0
2021;Maret;22;Latte;32.0;28000.0
2021;Maret;23;Cappuccino;53.0;25000.0
2021;Maret;23;Croissant;21.0;18000.0
2021;Maret;23;Donat;33.0;15000.0
2021;Maret;23;Espresso;34.0;22000.0
2021;Maret;23;Latte;;28000.0
2021;Maret;23;;47.0;21000.0
2021;Maret;24;Americano;44.0;21000.0
2021;Maret;24;Americano;44.0;21000.0
2021;Maret;24;Cappuccino;;25000.0
2021;Maret;24;Croissant;;18000.0
2021;Maret;24;Donat;20.0;15000.0
2021;Maret;24;Espresso;;
2021;Maret;24;Latte;33.0;28000.0
2021;Maret;25;Americano;;21000.0
2021;Maret;25;Cappuccino;47.0;25000.0
2021;Maret;25;Croissant;10.0;18000.0
2021;Maret;25;Donat;26.0;15000.0
2021;Maret;25;Espresso;32.0;22000.0
2021;Maret;25;;28.0;28000.0
2021;Maret;26;Americano;33.0;21000.0
2021;Maret;26;Cappuccino;35.0;25000.0
2021;Maret;26;Croissant;22.0;18000.0
2021;Maret;26;Donat;15.0;
2021;Maret;26;Espresso;;22000.0
2021;Maret;26;Latte;36.0;
2021;Maret;27;Americano;32.0;21000.0
2021;Maret;27;Cappuccino;38.0;25000.0
2021;Maret;27;Croissant;17.0;18000.0
2021;Maret;27;Espresso;42.0;22000.0
2021;Maret;27;Latte;39.0;28000.0
2021;Maret;27;;28.0;15000.0
2021;Maret;28;Cappuccino;40.0;
2021;Maret;28;Croissant;8.0;18000.0
2021;Maret;28;Donat;26.0;15000.0
2021;Maret;28;Espresso;;22000.0
2021;Maret;28;Latte;32.0;28000.0
2021;Maret;28;;46.0;21000.0
2021;Maret;29;Americano;25.0;21000.0
2021;Maret;29;Cappuccino;33.0;25000.0
2021;Maret;29;Croissant;8.0;
2021;Maret;29;Donat;22.0;15000.0
2021;Maret;29;Espresso;34.0;22000.0
2021;Maret;29;Latte;44.0;28000.0
2021;Maret;30;Americano;26.0;21000.0
2021;Maret;30;Cappuccino;45.0;25000.0
2021;Maret;30;Croissant;;
2021;Maret;30;Donat;12.0;15000.0
2021;Maret;30;Espresso;42.0;22000.0
2021;Maret;30;Latte;32.0;28000.0
2021;Maret;31;Americano;36.0;21000.0
2021;Maret;31;Cappuccino;;25000.0
2021;Maret;31;Croissant;30.0;18000.0
2021;Maret;31;Donat;17.0;15000.0
2021;Maret;31;Espresso;34.0;22000.0
2021;Maret;31;Latte;40.0;28000.0
2021;April;1;Americano;51.0;21000.0
2021;April;1;Cappuccino;44.0;25000.0
2021;April;1;Croissant;2.0;18000.0
2021;April;1;Latte;30.0;28000.0
2021;April;1;;46.0;22000.0
2021;April;1;;15.0;15000.0
2021;April;2;Cappuccino;42.0;25000.0
2021;April;2;Croissant;22.0;18000.0
2021;April;2;Donat;20.0;
2021;April;2;Espresso;44.0;22000.0
2021;April;2;Latte;38.0;
2021;April;2;;35.0;21000.0
2021;April;3;Americano;36.0;21000.0
2021;April;3;Cappuccino;42.0;25000.0
2021;April;3;Croissant;18.0;18000.0
2021;April;3;Espresso;49.0;22000.0
2021;April;3;Latte;42.0;28000.0
2021;April;3;;18.0;15000.0
2021;April;4;Americano;56.0;21000.0
2021;April;4;Cappuccino;42.0;25000.0
2021;April;4;Croissant;28.0;18000.0
2021;April;4;Donat;19.0;15000.0
2021;April;4;Espresso;43.0;22000.0
2021;April;4;Latte;36.0;28000.0
2021;April;5;Americano;31.0;21000.0
2021;April;5;Croissant;7.0;18000.0
2021;April;5;Donat;19.0;
2021;April;5;Latte;36.0;28000.0
2021;April;5;;49.0;22000.0
2021;April;5;;23.0;25000.0
2021;April;6;Cappuccino;42.0;25000.0
2021;April;6;Croissant;28.0;18000.0
2021;April;6;Donat;4.0;15000.0
2021;April;6;Espresso;40.0;22000.0
2021;April;6;Latte;53.0;28000.0
2021;April;6;;38.0;21000.0
2021;April;7;Americano;49.0;21000.0
2021;April;7;Cappuccino;28.0;25000.0
2021;April;7;Croissant;24.0;18000.0
2021;April;7;Donat;18.0;15000.0
2021;April;7;Espresso;41.0;22000.0
2021;April;7;Latte;46.0;28000.0
2021;April;8;Cappuccino;41.0;25000.0
2021;April;8;Donat;15.0;15000.0
2021;April;8;Espresso;45.0;22000.0
2021;April;8;Latte;58.0;28000.0
2021;April;8;;41.0;21000.0
2021;April;8;;18.0;18000.0
2021;April;9;Americano;36.0;21000.0
2021;April;9;Croissant;25.0;18000.0
2021;April;9;Espresso;46.0;
2021;April;9;Latte;33.0;28000.0
2021;April;9;;40.0;25000.0
2021;April;9;;24.0;15000.0
2021;April;10;Americano;32.0;
2021;April;10;Cappuccino;37.0;25000.0
2021;April;10;Croissant;18.0;18000.0
2021;April;10;Donat;25.0;15000.0
2021;April;10;Latte;35.0;28000.0
2021;April;10;;48.0;22000.0
2021;April;11;Cappuccino;46.0;25000.0
2021;April;11;Croissant;25.0;18000.0
2021;April;11;Donat;37.0;15000.0
2021;April;11;Espresso;46.0;22000.0
2021;April;11;Latte;;28000.0
2021;April;11;;50.0;21000.0
2021;April;12;Americano;51.0;21000.0
2021;April;12;Croissant;27.0;18000.0
2021;April;12;Donat;21.0;15000.0
2021;April;12;Espresso;33.0;22000.0
2021;April;12;Latte;30.0;28000.0
2021;April;12;;25.0;
2021;April;13;Americano;41.0;
2021;April;13;Cappuccino;59.0;25000.0
2021;April;13;Croissant;22.0;18000.0
2021;April;13;Donat;27.0;15000.0
2021;April;13;Espresso;42.0;22000.0
2021;April;13;Latte;30.0;28000.0
2021;April;14;Americano;43.0;21000.0
2021;April;14;Americano;43.0;21000.0
2021;April;14;Cappuccino;33.0;25000.0
2021;April;14;Croissant;37.0;18000.0
2021;April;14;Donat;32.0;15000.0
2021;April;14;Espresso;43.0;22000.0
2021;April;14;Latte;41.0;28000.0
2021;April;15;Americano;38.0;21000.0
2021;April;15;Cappuccino;;25000.0
2021;April;15;Croissant;22.0;18000.0
2021;April;15;Donat;30.0;15000.0
2021;April;15;Espresso;52.0;22000.0
2021;April;15;Latte;35.0;28000.0
2021;April;16;Americano;36.0;21000.0
2021;April;16;Cappuccino;38.0;25000.0
2021;April;16;Espresso;;22000.0
2021;April;16;Latte;52.0;28000.0
2021;April;16;;13.0;18000.0
2021;April;16;;8.0;15000.0
2021;April;17;Americano;29.0;21000.0
2021;April;17;Cappuccino;29.0;25000.0
2021;April;17;Croissant;;18000.0
2021;April;17;Donat;35.0;15000.0
